"","Year","Area","Street","Street 2"
"201",2011,"Birmingham","WardEndRoad",""
"202",2011,"Birmingham","WarwickRoad",""
"203",2011,"Birmingham","WarwickRoad",""
"204",2011,"Birmingham","WarwickRoad",""
"205",2011,"Birmingham","WarwickRoad",""
"206",2011,"Birmingham","WarwickRoad",""
"207",2011,"Birmingham","WarwickRoadTysley",""
"208",2011,"Birmingham","Washlane",""
"209",2011,"Birmingham","WashfordHeathRoad",""
"210",2011,"Birmingham","WashwoodHeathpub",""
"211",2011,"Birmingham","WASHWOODHEATHRD,̴WASHWOODHEATH,̴BHAM",""
"212",2011,"Birmingham","WashwoodHeathroad",""
"213",2011,"Birmingham","WashwoodHeathRoad",""
"214",2011,"Birmingham","WashwoodHeathRoad",""
"215",2011,"Birmingham","WashwoodHeathRoad",""
"216",2011,"Birmingham","WateryLaneMiddleway,̴Birmingham",""
"217",2011,"Birmingham","Wawrickroad",""
"218",2011,"Birmingham","WelshfarmRoad,̴Quinton",""
"219",2011,"Birmingham","WestleyRoad",""
"220",2011,"Birmingham","WestleyRoad,̴AcocksGreen",""
"221",2011,"Birmingham","WhiteHartPublicHouse",""
"222",2011,"Birmingham","WhiteHartPublicHouse",""
"223",2011,"Birmingham","Whiteheartpub,̴GressellLane",""
"224",2011,"Birmingham","WilliamHillBookmakers,̴WashwoodHeathRoad",""
"225",2011,"Birmingham","WilliamHillBookmakers,̴WashwoodHeathRoad",""
"226",2011,"Birmingham","WilliamHillWashwoodHeathRoad",""
"227",2011,"Birmingham","WindwardRoad",""
"228",2011,"Birmingham","WindwardRoad",""
"229",2011,"Birmingham","WoodEndRoad,̴Erdington",""
"230",2011,"Birmingham","Woodbridgeroad,̴moseley",""
"231",2011,"Birmingham","WrightStr.",""
"232",2011,"Birmingham","Yardleygreenroad",""
"233",2011,"Birmingham","Yardleyroadacocksgreen",""
"234",2011,"Birmingham","YardleyWoodRoad",""
"235",2011,"Birmingham","YardleyWoodRoad",""
"236",2011,"Birmingham","YewTreecarpark",""
"237",2011,"Birmingham","YewTreeLane",""
"238",2011,"Birmingham","YewTreepublichousecarpark.",""
"239",2011,"Birmingham","ArmadaPub,̴SladeRoad,̴Erdington,̴Birmingham",""
"240",2011,"Birmingham","ArmardaPub,̴̴GravellyHill",""
"241",2011,"Birmingham","ArmardaPub,̴GravellyHill",""
"242",2011,"Birmingham","BADGERSBANKROAD",""
"243",2011,"Birmingham","BaldmoorLakeRoad,̴Erdington,̴Birmingham.",""
"244",2011,"Birmingham","BandywoodRd,̴kingstanding",""
"245",2011,"Birmingham","BeckenhamRoad",""
"246",2011,"Birmingham","BeechesWalk",""
"247",2011,"Birmingham","BIRMINGHAMRD",""
"248",2011,"Birmingham","BIRMINGHAMRD",""
"249",2011,"Birmingham","BirminghamRd,̴SC",""
"250",2011,"Birmingham","BirminghamRoad",""
"251",2011,"Birmingham","BirminghamRoad",""
"252",2011,"Birmingham","Birminghamroadsutton",""
"253",2011,"Birmingham","BirminghamRoad,̴Erdington",""
"254",2011,"Birmingham","BirminghamRoad,̴SuttonColdfield",""
"255",2011,"Birmingham","BirminghamRoad,̴SuttonColdfield",""
"256",2011,"Birmingham","BOWLINGGREENCLOSE",""
"257",2011,"Birmingham","BracebridgeRoad,̴Erdington",""
"258",2011,"Birmingham","Brassingtonavenue",""
"259",2011,"Birmingham","BromfordLane",""
"260",2011,"Birmingham","BromfordLane,̴Erdington,̴B'ham",""
"261",2011,"Birmingham","BrookvaleparkRoad",""
"262",2011,"Birmingham","CarhamptonRoad,̴FalconLodge,̴SuttonColfield",""
"263",2011,"Birmingham","CarshaltonRoad",""
"264",2011,"Birmingham","CarshorltonRoad",""
"265",2011,"Birmingham","Chesterrd",""
"266",2011,"Birmingham","CHESTERROAD",""
"267",2011,"Birmingham","ChesterRoad,̴HallsgardenCentre",""
"268",2011,"Birmingham","CHURCHRDATCHESTERRD",""
"269",2011,"Birmingham","CollegeRoad,̴Kingstanding,̴B'ham",""
"270",2011,"Birmingham","CollegeRoad,̴Kingstanding,̴B'ham",""
"271",2011,"Birmingham","CopshillCourt,̴MountView,̴SuttonColdfield",""
"272",2011,"Birmingham","DovedaleRoad,̴Erdington,̴B'ham",""
"273",2011,"Birmingham","DownsideRoad,̴Erdington,̴B'ham",""
"274",2011,"Birmingham","EachelhurtRoad,̴Erdington",""
"275",2011,"Birmingham","ERDINGTONHALLROAD",""
"276",2011,"Birmingham","ERDINGTONHALLROAD",""
"277",2011,"Birmingham","ErdingtonHighStr.",""
"278",2011,"Birmingham","FenthamRoad,̴Erdington,̴B'ham",""
"279",2011,"Birmingham","FINCHLEYROAD",""
"280",2011,"Birmingham","FinchleyRoad,̴Kingstanding,̴B'ham",""
"281",2011,"Birmingham","GEORGEFREDERICKROAD",""
"282",2011,"Birmingham","GoldenPondtakeaway�����̴BoldmereRoad",""
"283",2011,"Birmingham","Goodhopehospital",""
"284",2011,"Birmingham","GracechurchCentre",""
"285",2011,"Birmingham","Gracechurchcentre,̴outsideSupercigs",""
"286",2011,"Birmingham","GraceChurchShoppingCentre,̴SuttonColdfield",""
"287",2011,"Birmingham","Grassedarea,̴pypehayespark....",""
"288",2011,"Birmingham","Gravelleylane",""
"289",2011,"Birmingham","Gravelleylane",""
"290",2011,"Birmingham","Gravelleylane",""
"291",2011,"Birmingham","GravellyLane,̴Erdington,̴Birmingham",""
"292",2011,"Birmingham","Hairylemonpub.suttoncoldfield",""
"293",2011,"Birmingham","Hairylemonpub.suttoncoldfield",""
"294",2011,"Birmingham","HermatigeRoad",""
"295",2011,"Birmingham","HermatigeRoad",""
"296",2011,"Birmingham","HERMITAGEDRIVE",""
"297",2011,"Birmingham","HighStr.",""
"298",2011,"Birmingham","HighStr.erdington",""
"299",2011,"Birmingham","HighStr.,̴erdington",""
"300",2011,"Birmingham","HighStr.,̴Erdington",""
"301",2011,"Birmingham","HighStr.,̴S/C",""
"302",2011,"Birmingham","HighStr.,̴S/C",""
"303",2011,"Birmingham","HightStErdINGTON",""
"304",2011,"Birmingham","HUNTONHILL",""
"305",2011,"Birmingham","KFCretailoutlet,̴ErdingtonHighStr.",""
"306",2011,"Birmingham","KingsburyRoad,̴Erdington,̴B'ham",""
"307",2011,"Birmingham","KingstandingCircle",""
"308",2011,"Birmingham","LadywellWalk,̴Birmingham",""
"309",2011,"Birmingham","LandsdownRoad",""
"310",2011,"Birmingham","LICHFIELDROAD,̴MEREGREEN",""
"311",2011,"Birmingham","LICHFIELDROAD,̴SUTTONCOLDFIELD",""
"312",2011,"Birmingham","LindridgeRoad,̴SuttonColdfield",""
"313",2011,"Birmingham","Littleastonlane",""
"314",2011,"Birmingham","LONGFORDROAD",""
"315",2011,"Birmingham","LongfordRoad,̴Kingstanding,̴B'ham",""
"316",2011,"Birmingham","Lowerparade",""
"317",2011,"Birmingham","LOWERPARADE",""
"318",2011,"Birmingham","Lowerparade",""
"319",2011,"Birmingham","Lowerparade",""
"320",2011,"Birmingham","Lowerparade",""
"321",2011,"Birmingham","Lowerparade",""
"322",2011,"Birmingham","LOWERPARADE",""
"323",2011,"Birmingham","LowerParade",""
"324",2011,"Birmingham","LowerParade",""
"325",2011,"Birmingham","LOWERPARADE",""
"326",2011,"Birmingham","LowerParade",""
"327",2011,"Birmingham","LOWERPARADE",""
"328",2011,"Birmingham","LowerParade",""
"329",2011,"Birmingham","LOWERPARADE",""
"330",2011,"Birmingham","LOWERPARADE",""
"331",2011,"Birmingham","LowerParade",""
"332",2011,"Birmingham","LowerParade",""
"333",2011,"Birmingham","LowerParade",""
"334",2011,"Birmingham","LOWERPARADE",""
"335",2011,"Birmingham","LowerparadeSC",""
"336",2011,"Birmingham","LOWERPARADESUTTON",""
"337",2011,"Birmingham","LowerParadeSuttonColdfield",""
"338",2011,"Birmingham","Lowerparade,",""
"339",2011,"Birmingham","Lowerparade,̴SutonColdfield",""
"340",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"341",2011,"Birmingham","Lowerparade,̴suttoncoldfield",""
"342",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"343",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"344",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"345",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"346",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"347",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"348",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"349",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"350",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"351",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"352",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"353",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"354",2011,"Birmingham","LowerParade,̴SuttonColdfield",""
"355",2011,"Birmingham","LowerParade,̴SuttonColdfieldtowncentre",""
"356",2011,"Birmingham","LowerParade,̴SuttonColdfieldtownCentre",""
"357",2011,"Birmingham","LowerParade,̴SuttonColdfield.",""
"358",2011,"Birmingham","Lydhamclose",""
"359",2011,"Birmingham","MillStr.",""
"360",2011,"Birmingham","MillStr.,̴SuttonColdfield",""
"361",2011,"Birmingham","Moorhallhotel",""
"362",2011,"Birmingham","MulberryCourtCarpark,̴KingsRoad,̴Kingstanding,̴Birmingham",""
"363",2011,"Birmingham","Newhallwalkcarpark",""
"364",2011,"Birmingham","Newhallwalkcarpark",""
"365",2011,"Birmingham","O/SH/A",""
"366",2011,"Birmingham","O/sLittenTree",""
"367",2011,"Birmingham","O/SLittenTree,̴S/CTownCentre",""
"368",2011,"Birmingham","O/SMooMooBar,̴S/cTownCentre",""
"369",2011,"Birmingham","O/smoomoobar,̴Southparade",""
"370",2011,"Birmingham","O/sretro",""
"371",2011,"Birmingham","O/SRetro,̴Southparade",""
"372",2011,"Birmingham","O/SRetros",""
"373",2011,"Birmingham","O/SRoyalHotel,̴LichfieldRoad",""
"374",2011,"Birmingham","O/stemplebar",""
"375",2011,"Birmingham","O/STempleBar",""
"376",2011,"Birmingham","O/STempleBar,̴HighStr.",""
"377",2011,"Birmingham","O/sTempleBar,̴LowerParadeSuttonColdfield.",""
"378",2011,"Birmingham","O/STempleBar,̴S/CTownCentre",""
"379",2011,"Birmingham","O/stemplebar,̴suttoncoldfield,̴westmilands",""
"380",2011,"Birmingham","O/sthehairylemon",""
"381",2011,"Birmingham","OnpavementoutsideTheRoyalHotel",""
"382",2011,"Birmingham","OurtsideRoyalPub,̴LichfieldRoad,̴SuttonColdfield",""
"383",2011,"Birmingham","OutsideGlendaleTower,̴LyndhurstEstate",""
"384",2011,"Birmingham","OutsideLittenTreepub,̴BirminghamRoad,̴SuttonColdfield`",""
"385",2011,"Birmingham","OutsideMooMooClub,̴TownCentre,̴SuttonColdfield",""
"386",2011,"Birmingham","OutsideMooMoonightclub,̴SouthParade",""
"387",2011,"Birmingham","OutsideTempleParade,̴LowerParade",""
"388",2011,"Birmingham","OutsidetheTempleBar,̴LowerParade,̴SC",""
"389",2011,"Birmingham","PARADE.̴SUTTONCOLDFIELD",""
"390",2011,"Birmingham","ParadeSC",""
"391",2011,"Birmingham","Paradesuttoncoldfield",""
"392",2011,"Birmingham","Paradesuttoncoldfield",""
"393",2011,"Birmingham","PARADESUTTONCOLDFIELD",""
"394",2011,"Birmingham","Paradesuttontown",""
"395",2011,"Birmingham","Parade,̴SuttonColdfield",""
"396",2011,"Birmingham","Parade,̴SuttonColdfield",""
"397",2011,"Birmingham","Parade,̴SuttonTownCentre",""
"398",2011,"Birmingham","ParkestonCrescent,̴Kinsgatnding,̴B'ham",""
"399",2011,"Birmingham","PLANTSGROVEERDINGTON",""
"400",2011,"Birmingham","PypeHayesRoad,̴PypeHayes,̴B'ham",""
"401",2011,"Birmingham","PypeHayesRoad,̴PypeHayes,̴B'ham",""
"402",2011,"Birmingham","PypeHayesRoad,̴PypeHayes,̴B'ham",""
"403",2011,"Birmingham","QueenStr.",""
"404",2011,"Birmingham","QueenStr.",""
"405",2011,"Birmingham","QueenStr.",""
"406",2011,"Birmingham","QueenStr.",""
"407",2011,"Birmingham","QueenStr.SuttonColdfieldTowncentre",""
"408",2011,"Birmingham","QueslettRoadEast",""
"409",2011,"Birmingham","REDACRERDBOLDMERE",""
"410",2011,"Birmingham","RESERVOIRROAD",""
"411",2011,"Birmingham","Ridgeway",""
"412",2011,"Birmingham","SladeRoad,̴Erdington,̴B'ham",""
"413",2011,"Birmingham","SladeRoad,̴Erdington,̴B'ham",""
"414",2011,"Birmingham","Sothparade,̴SuttonColdfield",""
"415",2011,"Birmingham","Sothparade,̴SuttonColdfield",""
"416",2011,"Birmingham","Southparade",""
"417",2011,"Birmingham","SOUTHPARADE",""
"418",2011,"Birmingham","SOUTHPARADE",""
"419",2011,"Birmingham","SouthParade",""
"420",2011,"Birmingham","SouthParade",""
"421",2011,"Birmingham","SouthParade",""
"422",2011,"Birmingham","SouthParade",""
"423",2011,"Birmingham","SOUTHPARADE",""
"424",2011,"Birmingham","SouthParade",""
"425",2011,"Birmingham","Southparade",""
"426",2011,"Birmingham","Southparade",""
"427",2011,"Birmingham","SouthParade",""
"428",2011,"Birmingham","SouthParade�����̴towncentre,̴SuttonColdfield",""
"429",2011,"Birmingham","SouthParadeSuttonColdfield",""
"430",2011,"Birmingham","SouthparadeSuttonColdfield",""
"431",2011,"Birmingham","SouthParadeSuttonTowncentre",""
"432",2011,"Birmingham","SouthParade,̴SuttonColdfield",""
"433",2011,"Birmingham","SouthParade,̴SuttonColdfield",""
"434",2011,"Birmingham","Southparade,̴SuttonColdfield",""
"435",2011,"Birmingham","SouthParade,̴SuttonColdfield",""
"436",2011,"Birmingham","Southparade,̴SuttonColdfield",""
"437",2011,"Birmingham","SouthParade,̴SuttonColdfield",""
"438",2011,"Birmingham","Southparade,̴SuttonColdfield",""
"439",2011,"Birmingham","SouthParade,̴SuttonColdfield",""
"440",2011,"Birmingham","SouthParade,̴SuttonColdfield",""
"441",2011,"Birmingham","SouthParade,̴SuttonColdfield",""
"442",2011,"Birmingham","Southparade,̴SuttonColdfield",""
"443",2011,"Birmingham","Southparade,̴SuttonTownCentre",""
"444",2011,"Birmingham","SouthParade,̴TownCentre,̴SuttonColdfield",""
"445",2011,"Birmingham","STORNAWAYROADCASTLEVALE",""
"446",2011,"Birmingham","STREETLEYROADERDINGTON",""
"447",2011,"Birmingham","Sumburghcroft",""
"448",2011,"Birmingham","SuttonColdfieldTownCentre",""
"449",2011,"Birmingham","SuttonColdfieldTownCentre",""
"450",2011,"Birmingham","SuttonNewRoad",""
"451",2011,"Birmingham","SuttonNewRoadErdington",""
"452",2011,"Birmingham","SUTTONNEWROADERDINGTON",""
"453",2011,"Birmingham","SUTTONNEWROADERDINGTON",""
"454",2011,"Birmingham","SuttonNewRoad,̴Erdington,̴B'ham",""
"455",2011,"Birmingham","SuttonParade",""
"456",2011,"Birmingham","SUTTONPARADE",""
"457",2011,"Birmingham","SuttonParade",""
"458",2011,"Birmingham","SuttonTowncentre",""
"459",2011,"Birmingham","Suttontowncentre",""
"460",2011,"Birmingham","Suttontowncentre",""
"461",2011,"Birmingham","Suttontowncentre",""
"462",2011,"Birmingham","SuttonTownCentre",""
"463",2011,"Birmingham","Tedburycrescent",""
"464",2011,"Birmingham","Tesco'sExpress,̴WalsallRoad,̴FourOaks,̴SuttonColdfield",""
"465",2011,"Birmingham","TheParade",""
"466",2011,"Birmingham","TheParade",""
"467",2011,"Birmingham","TheParade",""
"468",2011,"Birmingham","Theparadesutton",""
"469",2011,"Birmingham","THEPARADESUTTONCOLDFIELD",""
"470",2011,"Birmingham","TheParade,̴BirminghamRoad,̴SuttonColdfield",""
"471",2011,"Birmingham","TheParade,̴SuttonColdfield",""
"472",2011,"Birmingham","TheParade,̴SuttonColdfield",""
"473",2011,"Birmingham","TheParade,̴SuttonColdfield",""
"474",2011,"Birmingham","TheParade,̴SuttonColdfield",""
"475",2011,"Birmingham","TheParade,̴SuttonColdfield",""
"476",2011,"Birmingham","TheParade,̴SuttonColdfield",""
"477",2011,"Birmingham","TheParade,̴SuttonTownCentre",""
"478",2011,"Birmingham","Theparade....",""
"479",2011,"Birmingham","THERIDGEWAY",""
"480",2011,"Birmingham","TheRidgeway",""
"481",2011,"Birmingham","TheRidgeway",""
"482",2011,"Birmingham","TheSwanPH",""
"483",2011,"Birmingham","Turnhouseroad",""
"484",2011,"Birmingham","UpperHollandRoad",""
"485",2011,"Birmingham","VictoriaRd",""
"486",2011,"Birmingham","VictoriaRd",""
"487",2011,"Birmingham","Victoriard",""
"488",2011,"Birmingham","WalshDrive,̴Walmley,̴SuttonColdfield",""
"489",2011,"Birmingham","WarrenFarmRd",""
"490",2011,"Birmingham","WarrenFarmRoad",""
"491",2011,"Birmingham","Whitehousecommonrd",""
"492",2011,"Birmingham","WiltonRd",""
"493",2011,"Birmingham","WindsorHouse,̴JarvisRoad,̴Erdington",""
